0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:10:35 +0530] "GET /web2/update.jsp HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:10:51 +0530] "GET /web2/insertsubject.jsp HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:11:45 +0530] "GET /web2/update.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:12:09 +0530] "GET /web2/update.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:12:24 +0530] "GET /web2/update.jsp HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:12:40 +0530] "GET /web2/update.jsp HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:12:58 +0530] "GET /web2/update.jsp HTTP/1.1" 200 1728
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:13:29 +0530] "GET /web2/update.jsp HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:13:31 +0530] "GET /web2/update.jsp HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:13:43 +0530] "GET /web2/update.jsp HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:13:44 +0530] "GET /web2/update.jsp HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:14:39 +0530] "GET /web2/update.jsp HTTP/1.1" 200 1715
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:14:40 +0530] "GET /web2/update.jsp HTTP/1.1" 200 1715
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:16:02 +0530] "GET /web2/update.jsp HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:16:03 +0530] "GET /web2/update.jsp HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:16:17 +0530] "GET /web2/update.jsp HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:16:31 +0530] "GET /web2/update.jsp HTTP/1.1" 200 1674
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:16:57 +0530] "GET /web2/update.jsp HTTP/1.1" 200 1674
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:17:21 +0530] "GET /web2/users.jsp HTTP/1.1" 200 3189
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:17:56 +0530] "GET /web2/scores.jsp HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:17:56 +0530] "GET /web2/sc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:18:10 +0530] "GET /web2/searchone.jsp HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:18:10 +0530] "GET /web2/download.png HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:18:10 +0530] "GET /web2/question.jpg HTTP/1.1" 200 16539
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:18:37 +0530] "GET /web2/searchone.jsp HTTP/1.1" 200 591
